"Route of Travel","Quarter","Statistic Label","UNIT","VALUE"
"All routes of travel","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1167"
"All routes of travel","2012Q1","Overseas Trips by Irish Residents","Thousand","1235"
"All routes of travel","2012Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.5"
"All routes of travel","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1817"
"All routes of travel","2012Q2","Overseas Trips by Irish Residents","Thousand","1727"
"All routes of travel","2012Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"All routes of travel","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2095"
"All routes of travel","2012Q3","Overseas Trips by Irish Residents","Thousand","2003"
"All routes of travel","2012Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.5"
"All routes of travel","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1438"
"All routes of travel","2012Q4","Overseas Trips by Irish Residents","Thousand","1360"
"All routes of travel","2012Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.9"
"All routes of travel","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1252"
"All routes of travel","2013Q1","Overseas Trips by Irish Residents","Thousand","1209"
"All routes of travel","2013Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"All routes of travel","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1893"
"All routes of travel","2013Q2","Overseas Trips by Irish Residents","Thousand","1752"
"All routes of travel","2013Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"All routes of travel","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2261"
"All routes of travel","2013Q3","Overseas Trips by Irish Residents","Thousand","2033"
"All routes of travel","2013Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"All routes of travel","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1580"
"All routes of travel","2013Q4","Overseas Trips by Irish Residents","Thousand","1329"
"All routes of travel","2013Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.7"
"All routes of travel","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1343"
"All routes of travel","2014Q1","Overseas Trips by Irish Residents","Thousand","1154"
"All routes of travel","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7"
"All routes of travel","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2127"
"All routes of travel","2014Q2","Overseas Trips by Irish Residents","Thousand","1791"
"All routes of travel","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"All routes of travel","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2440"
"All routes of travel","2014Q3","Overseas Trips by Irish Residents","Thousand","2112"
"All routes of travel","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.2"
"All routes of travel","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1695"
"All routes of travel","2014Q4","Overseas Trips by Irish Residents","Thousand","1458"
"All routes of travel","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All routes of travel","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1531"
"All routes of travel","2015Q1","Overseas Trips by Irish Residents","Thousand","1306"
"All routes of travel","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"All routes of travel","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2345"
"All routes of travel","2015Q2","Overseas Trips by Irish Residents","Thousand","1928"
"All routes of travel","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All routes of travel","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2771"
"All routes of travel","2015Q3","Overseas Trips by Irish Residents","Thousand","2186"
"All routes of travel","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.5"
"All routes of travel","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1996"
"All routes of travel","2015Q4","Overseas Trips by Irish Residents","Thousand","1545"
"All routes of travel","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"All routes of travel","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1785"
"All routes of travel","2016Q1","Overseas Trips by Irish Residents","Thousand","1478"
"All routes of travel","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"All routes of travel","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2599"
"All routes of travel","2016Q2","Overseas Trips by Irish Residents","Thousand","1975"
"All routes of travel","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"All routes of travel","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3062"
"All routes of travel","2016Q3","Overseas Trips by Irish Residents","Thousand","2253"
"All routes of travel","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.4"
"All routes of travel","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2139"
"All routes of travel","2016Q4","Overseas Trips by Irish Residents","Thousand","1699"
"All routes of travel","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All routes of travel","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1796"
"All routes of travel","2017Q1","Overseas Trips by Irish Residents","Thousand","1569"
"All routes of travel","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All routes of travel","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2769"
"All routes of travel","2017Q2","Overseas Trips by Irish Residents","Thousand","2119"
"All routes of travel","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All routes of travel","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3096"
"All routes of travel","2017Q3","Overseas Trips by Irish Residents","Thousand","2495"
"All routes of travel","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9"
"All routes of travel","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2271"
"All routes of travel","2017Q4","Overseas Trips by Irish Residents","Thousand","1756"
"All routes of travel","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All routes of travel","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1921"
"All routes of travel","2018Q1","Overseas Trips by Irish Residents","Thousand","1599"
"All routes of travel","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"All routes of travel","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2952"
"All routes of travel","2018Q2","Overseas Trips by Irish Residents","Thousand","2248"
"All routes of travel","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.7"
"All routes of travel","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3331"
"All routes of travel","2018Q3","Overseas Trips by Irish Residents","Thousand","2571"
"All routes of travel","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.9"
"All routes of travel","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2413"
"All routes of travel","2018Q4","Overseas Trips by Irish Residents","Thousand","1858"
"All routes of travel","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All routes of travel","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","2027"
"All routes of travel","2019Q1","Overseas Trips by Irish Residents","Thousand","1727"
"All routes of travel","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.4"
"All routes of travel","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","3022"
"All routes of travel","2019Q2","Overseas Trips by Irish Residents","Thousand","2404"
"All routes of travel","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All routes of travel","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3334"
"All routes of travel","2019Q3","Overseas Trips by Irish Residents","Thousand","2774"
"All routes of travel","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"All routes of travel","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2425"
"All routes of travel","2019Q4","Overseas Trips by Irish Residents","Thousand","1910"
"All routes of travel","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.5"
"Cross channel","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","689"
"Cross channel","2012Q1","Overseas Trips by Irish Residents","Thousand","611"
"Cross channel","2012Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"Cross channel","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","967"
"Cross channel","2012Q2","Overseas Trips by Irish Residents","Thousand","679"
"Cross channel","2012Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"Cross channel","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1104"
"Cross channel","2012Q3","Overseas Trips by Irish Residents","Thousand","704"
"Cross channel","2012Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.2"
"Cross channel","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","786"
"Cross channel","2012Q4","Overseas Trips by Irish Residents","Thousand","629"
"Cross channel","2012Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"Cross channel","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","704"
"Cross channel","2013Q1","Overseas Trips by Irish Residents","Thousand","576"
"Cross channel","2013Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.7"
"Cross channel","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","939"
"Cross channel","2013Q2","Overseas Trips by Irish Residents","Thousand","654"
"Cross channel","2013Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.3"
"Cross channel","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1195"
"Cross channel","2013Q3","Overseas Trips by Irish Residents","Thousand","724"
"Cross channel","2013Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.7"
"Cross channel","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","887"
"Cross channel","2013Q4","Overseas Trips by Irish Residents","Thousand","605"
"Cross channel","2013Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.3"
"Cross channel","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","755"
"Cross channel","2014Q1","Overseas Trips by Irish Residents","Thousand","567"
"Cross channel","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.1"
"Cross channel","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1066"
"Cross channel","2014Q2","Overseas Trips by Irish Residents","Thousand","636"
"Cross channel","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.7"
"Cross channel","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1195"
"Cross channel","2014Q3","Overseas Trips by Irish Residents","Thousand","772"
"Cross channel","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.8"
"Cross channel","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","916"
"Cross channel","2014Q4","Overseas Trips by Irish Residents","Thousand","622"
"Cross channel","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.5"
"Cross channel","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","900"
"Cross channel","2015Q1","Overseas Trips by Irish Residents","Thousand","574"
"Cross channel","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"Cross channel","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1129"
"Cross channel","2015Q2","Overseas Trips by Irish Residents","Thousand","661"
"Cross channel","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.4"
"Cross channel","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1318"
"Cross channel","2015Q3","Overseas Trips by Irish Residents","Thousand","736"
"Cross channel","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.5"
"Cross channel","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1033"
"Cross channel","2015Q4","Overseas Trips by Irish Residents","Thousand","646"
"Cross channel","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4"
"Cross channel","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1003"
"Cross channel","2016Q1","Overseas Trips by Irish Residents","Thousand","617"
"Cross channel","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"Cross channel","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1260"
"Cross channel","2016Q2","Overseas Trips by Irish Residents","Thousand","665"
"Cross channel","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.6"
"Cross channel","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1426"
"Cross channel","2016Q3","Overseas Trips by Irish Residents","Thousand","716"
"Cross channel","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.4"
"Cross channel","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1067"
"Cross channel","2016Q4","Overseas Trips by Irish Residents","Thousand","685"
"Cross channel","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4"
"Cross channel","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","932"
"Cross channel","2017Q1","Overseas Trips by Irish Residents","Thousand","673"
"Cross channel","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.5"
"Cross channel","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1174"
"Cross channel","2017Q2","Overseas Trips by Irish Residents","Thousand","738"
"Cross channel","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.6"
"Cross channel","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1239"
"Cross channel","2017Q3","Overseas Trips by Irish Residents","Thousand","794"
"Cross channel","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"Cross channel","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1058"
"Cross channel","2017Q4","Overseas Trips by Irish Residents","Thousand","673"
"Cross channel","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4"
"Cross channel","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","914"
"Cross channel","2018Q1","Overseas Trips by Irish Residents","Thousand","656"
"Cross channel","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.4"
"Cross channel","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1187"
"Cross channel","2018Q2","Overseas Trips by Irish Residents","Thousand","733"
"Cross channel","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.6"
"Cross channel","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1315"
"Cross channel","2018Q3","Overseas Trips by Irish Residents","Thousand","780"
"Cross channel","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"Cross channel","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1076"
"Cross channel","2018Q4","Overseas Trips by Irish Residents","Thousand","697"
"Cross channel","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.9"
"Cross channel","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","908"
"Cross channel","2019Q1","Overseas Trips by Irish Residents","Thousand","677"
"Cross channel","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.1"
"Cross channel","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1209"
"Cross channel","2019Q2","Overseas Trips by Irish Residents","Thousand","735"
"Cross channel","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.4"
"Cross channel","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1334"
"Cross channel","2019Q3","Overseas Trips by Irish Residents","Thousand","774"
"Cross channel","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.9"
"Cross channel","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1087"
